week,activation_id,restaurant_name,location_name,activation_description,activation_start,activation_end,unique_users_count,total_tpv,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage
Week 2,"25,562",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-11-04 09:00:00,2025-11-04 17:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 2,"25,603",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-04 08:00:00,2025-11-05 02:00:00,0,0.0,,,0.0,4975.0,0,0,0.0
Week 2,"25,681",Upstate Stock,Williamsburg,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-11-04 07:30:00,2025-11-04 18:30:00,22,322.95,3.67,17.45,20.0,2320.0,2,20,9.09
Week 2,"25,308",The Blue Light,Pacific Heights,"Spend $40 with Blackbird Pay, get $15 in $FLY back",2025-11-03 18:00:00,2025-11-03 22:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 2,"25,248",Lillian's Restaurant,Hampton Park Terrace,"Spend $75 with Blackbird Pay, get $25 in $FLY back",2025-11-03 17:00:00,2025-11-03 21:00:00,3,204.32,172.44,157.73,25.0,4670.0,0,3,0.0
Week 2,"24,646",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-03 16:00:00,2025-11-03 19:00:00,1,84.78,,,25.0,0.0,1,0,100.0
Week 2,"25,694",Friend of a Farmer,Gramercy,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",2025-11-03 16:00:00,2025-11-03 18:00:00,3,220.95,,,30.0,2440.0,3,0,100.0
Week 2,"25,718",Friend of a Farmer,Upper West Side,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",2025-11-03 16:00:00,2025-11-03 18:00:00,0,0.0,,,0.0,2440.0,0,0,0.0
Week 2,"25,535",Huriyali,Riverland,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-11-03 15:00:00,2025-11-03 18:00:00,3,70.68,18.67,-10.2,5.0,4830.0,0,3,0.0
Week 2,"25,495",Huriyali,Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-11-03 15:00:00,2025-11-03 18:00:00,3,69.6,13.06,15.27,5.0,4830.0,1,2,33.33
Week 2,"24,577",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-11-03 14:00:00,2025-11-03 16:00:00,3,78.5,696.95,102.44,0.0,4930.0,2,1,66.67
Week 2,"24,595",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-11-03 13:30:00,2025-11-03 15:00:00,1,2.78,-94.66,-84.61,0.0,4930.0,0,1,0.0
Week 2,"24,612",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-11-03 13:30:00,2025-11-03 15:00:00,1,29.97,,,5.0,4930.0,1,0,100.0
